worker_type,mean_exec_dur_secs,stddev_exec_dur_secs,min_exec_dur_secs,max_exec_dur_secs,execuções,Azure Compute,DBU,Network,Disco,Total em $,custo_por_segundo,eficiencia,performance_score,is_pds_v6
D32pds_v6,65,1,64,66,5,0.396,0.33,0.05,0.04,0.8160000000000001,0.012553846153846155,79.65686274509804,0.015384615384615385,True
D16pds_v6,79,1,78,80,5,0.22000000000000003,0.18,0.06,0.02,0.48000000000000004,0.006075949367088608,164.58333333333331,0.012658227848101266,True
D16as_v5,79,0,78,80,5,0.35,0.14,0.07,0.07,0.6300000000000001,0.0079746835443038,125.39682539682536,0.012658227848101266,False
D16a_v4,83,0,82,84,5,0.35,0.12,0.08,0.03,0.58,0.006987951807228915,143.1034482758621,0.012048192771084338,False
E16_v3,93,1,90,95,5,1.1,0.17,0.06,0.03,1.36,0.014623655913978496,68.38235294117646,0.010752688172043012,False
D8pds_v6,113,2,110,116,5,0.11000000000000001,0.11,0.07,0.04,0.33,0.0029203539823008853,342.4242424242424,0.008849557522123894,True
F16,121,1,119,122,5,0.52,0.11,0.07,0.03,0.73,0.0060330578512396696,165.75342465753425,0.008264462809917356,False
D8as_v5,133,4,129,140,5,0.26,0.1,0.07,0.09,0.52,0.003909774436090226,255.76923076923075,0.007518796992481203,False
D8a_v4,138,2,135,141,5,0.2,0.08,0.06,0.04,0.38,0.0027536231884057972,363.1578947368421,0.007246376811594203,False
D16s_v3,139,2,136,143,5,0.46,0.19,0.07,0.06,0.78,0.005611510791366907,178.20512820512818,0.007194244604316547,False
D4pds_v6,174,4,167,180,5,0.07150000000000001,0.07,0.06,0.06,0.2615,0.0015028735632183908,665.3919694072657,0.005747126436781609,True
F8,194,5,188,201,5,0.27,0.07,0.07,0.06,0.47000000000000003,0.002422680412371134,412.7659574468085,0.005154639175257732,False
D4as_v5,215,6,209,222,5,0.11,0.07,0.07,0.11,0.36,0.0016744186046511627,597.2222222222223,0.004651162790697674,False
D4a_v4,231,13,221,255,5,0.14,0.06,0.07,0.07,0.34,0.0014718614718614719,679.4117647058823,0.004329004329004329,False
D8s_v3,232,9,222,243,5,0.29,0.12,0.07,0.08,0.5599999999999999,0.0024137931034482756,414.28571428571433,0.004310344827586207,False
D4s_v3,393,61,339,473,5,0.32,0.1,0.07,0.19,0.68,0.0017302798982188295,577.9411764705882,0.002544529262086514,False
F4,516,133,356,679,4,0.26,0.07,0.07,0.1,0.5,0.0009689922480620155,1032.0,0.001937984496124031,False
F4s_v2,900,172,778,1022,2,0.38,0.25,0.09,0.29,1.01,0.0011222222222222222,891.0891089108911,0.0011111111111111111,False
